               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.095288,            0.032364,            0.055125,           0.0063406,             0.95176,             0.08897,            0.031797,            0.049422,            0.022158,              0.0443,              0.0829,              0.0019,              0.0019
                   1,            0.060367,            0.030039,            0.051204,             0.12866,             0.48414,             0.17966,            0.089765,            0.046861,            0.013462,            0.041917,            0.064887,           0.0038871,           0.0038871
                   2,            0.058162,            0.021825,            0.049475,              0.1508,             0.59689,             0.21839,            0.080927,             0.05014,           0.0091101,            0.035561,            0.046861,           0.0058611,           0.0058611
                   3,            0.052454,            0.019431,            0.046858,             0.13654,             0.61656,             0.19694,             0.10188,            0.056091,           0.0087723,            0.034625,            0.028822,           0.0078218,           0.0078218
                   4,            0.050741,            0.015977,            0.046364,             0.18774,              0.4693,              0.2071,             0.11737,            0.046884,           0.0073194,            0.037255,            0.010769,           0.0097693,           0.0097693
                   5,            0.044443,            0.016504,            0.044702,             0.18936,             0.57207,             0.28237,             0.15928,            0.041393,           0.0087843,            0.029915,            0.009835,            0.009835,            0.009835
                   6,            0.039328,            0.016054,            0.043339,             0.21333,             0.54303,             0.30103,             0.20554,            0.035418,           0.0078519,            0.032217,            0.009835,            0.009835,            0.009835
                   7,            0.037431,            0.014909,            0.042992,             0.26415,             0.74965,             0.40387,              0.2518,            0.039569,           0.0079324,            0.029475,            0.009802,            0.009802,            0.009802
                   8,            0.034814,            0.014253,            0.041132,             0.32032,             0.66328,              0.4257,             0.30593,            0.032108,            0.007367,            0.030692,            0.009769,            0.009769,            0.009769
                   9,            0.031441,            0.014299,            0.040228,             0.32308,             0.55208,             0.38735,             0.26458,            0.032723,           0.0076486,            0.036911,            0.009736,            0.009736,            0.009736
                  10,            0.030018,            0.013983,            0.040147,             0.42615,             0.72651,             0.52019,             0.40833,            0.032402,           0.0066274,            0.025188,            0.009703,            0.009703,            0.009703
